tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
9.5,6.7,11.7,26.2,0.0,303.0,13.3,20.5,1014.2,
6.5,4.4,9.4,0.0,0.0,2.0,10.8,20.5,1019.8,
6.0,2.8,10.6,0.0,0.0,83.0,6.1,9.4,1023.4,
5.7,1.7,10.0,0.0,0.0,101.0,5.8,14.8,1019.7,
5.7,3.9,7.8,1.5,0.0,63.0,10.8,22.3,1014.0,
7.3,5.6,8.9,43.4,0.0,53.0,10.8,22.3,1005.1,
10.2,7.2,11.7,11.7,0.0,176.0,14.0,24.1,1003.2,
9.3,7.2,11.7,2.0,0.0,145.0,10.8,24.1,1006.4,
8.3,6.1,10.6,2.0,0.0,128.0,9.0,14.8,1008.9,
6.8,5.0,9.4,0.0,0.0,277.0,6.1,29.5,1008.1,
6.5,3.3,9.4,0.0,0.0,83.0,6.8,13.0,1017.7,
6.1,4.4,11.7,35.8,0.0,79.0,13.7,33.5,1008.9,
12.6,11.1,15.0,38.6,0.0,163.0,16.6,35.3,1001.7,
10.8,8.3,12.8,4.1,0.0,,13.3,61.2,1011.4,
10.2,8.3,12.2,8.6,0.0,,7.6,20.5,1011.2,
10.8,8.3,13.9,0.8,0.0,,5.4,29.5,1013.6,
9.7,7.8,12.2,25.7,0.0,124.0,4.7,37.1,1003.9,
10.3,7.8,13.3,2.3,0.0,343.0,6.8,25.9,1008.8,
10.2,8.3,12.2,0.0,0.0,134.0,13.3,42.5,1019.9,
11.7,11.1,13.3,11.9,0.0,182.0,20.2,50.0,1021.3,
11.6,9.4,13.9,5.1,0.0,,17.3,64.8,1022.0,
11.0,8.3,13.9,0.0,0.0,329.0,11.9,31.3,1026.1,
9.3,6.7,12.2,0.0,0.0,,7.6,25.9,1025.6,
9.9,6.7,15.0,0.0,0.0,131.0,4.7,14.8,1024.5,
11.1,7.2,17.2,0.0,0.0,,6.1,14.8,1022.0,
10.6,6.1,16.1,0.0,0.0,,3.6,9.4,1018.2,
9.2,6.7,12.2,0.0,0.0,,10.8,31.3,1016.9,
8.9,6.7,12.2,0.0,0.0,332.0,11.9,27.7,1020.8,
11.8,6.7,18.3,0.0,0.0,,13.7,59.0,1021.3,
13.9,8.9,18.3,0.0,0.0,,16.2,63.0,1017.9,
11.1,7.2,17.8,0.0,0.0,275.0,3.2,16.6,1021.6,
10.7,6.7,15.0,0.0,0.0,,7.9,18.4,1024.6,
11.3,7.8,14.4,0.0,0.0,,7.6,18.4,1020.0,
11.6,10.0,15.0,0.0,0.0,,3.2,13.0,1016.8,
13.7,10.0,18.9,0.0,0.0,,8.6,37.1,1013.1,
13.9,12.2,17.2,4.3,0.0,85.0,10.1,46.4,1016.7,
13.2,11.1,16.7,0.0,0.0,,2.9,9.4,1016.4,
12.4,11.1,16.1,20.1,0.0,,3.6,11.2,1004.0,
12.9,11.7,13.9,3.3,0.0,,11.5,25.9,998.3,
11.4,10.0,13.3,10.4,0.0,198.0,9.7,33.5,1012.3,
11.3,8.9,13.9,0.5,0.0,147.0,12.2,27.7,1021.7,
12.6,11.1,15.0,0.0,0.0,,10.1,25.9,1021.9,
10.9,7.8,13.9,0.0,0.0,304.0,6.1,29.5,1023.0,
11.2,7.8,15.6,0.0,0.0,,6.1,24.1,1020.3,
11.0,6.7,16.1,0.0,0.0,,7.6,18.4,1014.4,
10.9,7.8,14.4,0.0,0.0,231.0,20.2,55.4,1012.4,
10.2,8.9,11.7,2.8,0.0,227.0,9.7,20.5,1014.5,
11.7,10.0,13.9,11.2,0.0,143.0,18.4,46.4,1013.4,
13.0,10.6,15.0,14.2,0.0,,13.7,40.7,1002.8,
12.2,9.4,13.9,16.8,0.0,216.0,32.0,81.4,998.8,
10.1,7.8,12.2,3.8,0.0,257.0,19.4,51.8,1009.5,
10.0,8.3,12.8,2.0,0.0,198.0,10.8,33.5,1019.3,
10.4,9.4,13.3,6.4,0.0,162.0,13.7,44.3,1016.2,
11.3,9.4,13.3,4.1,0.0,240.0,23.0,46.4,1009.8,
9.6,7.8,12.2,0.0,0.0,308.0,16.6,38.9,1015.2,
8.8,8.3,10.6,2.0,0.0,77.0,9.0,18.4,1016.5,
9.7,7.8,11.7,1.3,0.0,40.0,8.6,40.7,1014.8,
10.9,7.8,16.1,0.0,0.0,,6.1,25.9,1017.5,
10.4,7.8,16.1,0.0,0.0,204.0,10.4,35.3,1020.8,
12.5,10.6,15.6,0.0,0.0,246.0,7.6,25.9,1026.0,
12.6,8.9,16.7,0.0,0.0,,6.8,33.5,1023.2,
13.9,11.1,17.2,2.0,0.0,,10.8,38.9,1024.2,
13.8,10.0,18.3,0.0,0.0,287.0,7.2,40.7,1028.4,
14.6,10.6,20.0,0.0,0.0,,6.1,33.5,1027.0,
16.7,11.7,23.9,0.0,0.0,,5.0,16.6,1022.3,
15.6,12.2,21.7,0.0,0.0,334.0,10.4,25.9,1019.2,
14.3,12.2,18.9,0.0,0.0,,9.0,25.9,1018.7,
14.7,12.8,17.8,0.0,0.0,293.0,8.6,29.5,1019.9,
15.1,13.3,18.3,0.0,0.0,274.0,12.2,42.5,1021.1,
15.1,13.3,18.9,0.0,0.0,277.0,11.2,37.1,1021.0,
